,student_id,question_id,text,gender,native_language,question
12023,ei8,1841,Resume ,Female,Chinese,"In paragraphs 1-3, find a word or phrase that means ""start again, begin after a pause."""
28582,fy1,3961,I would like to have my dreams explained because I think this could me help to understand things that happened in my life.,Female,Spanish,Would you like to have your dreams interpreted? Why or why not?
10424,di3,1624,categorize,Male,Arabic,"assert, categorize, testify"
18409,ah8,2630,"After experimentation,Helva discovered that she could manipulate her diaphragmatic unit to sustain tone. By relaxing the throat muscles and expanding the oral cavity well into the frontal sinuses, she could direct the vowel sounds into the",Male,Other,"manipulate 
to control something using the hands or to treat a part of the body, using the hands to push back bones into the correct position and put pressure on muscles"
8783,dy7,1399,"When I caught a cold, my body couldn't prevent infection therefore I took some antibiotics for a couple of days.",Female,Korean,Describe a time when your immune system didn't work well.
20561,as0,2786,"I got my Interior design license 6 months ago. This license is only for interior designer. Before I got it, I practiced drafting of interior design more 3 hours per day for 6 months. It was hard training for me, but this license must be gotten by designer. I had been worrying about the practical technique test, because I had ever failed test one time. I drawn draft line carefully and fast while taking test. Finally I confirmed my name on line, I was so happy.     ",Female,Korean,"Write a paragraph about a personal achievement.  Use page 42, exercise 13 as an example."
382,di1,41,I   live  with  my  two  roomates.,Female,Chinese,Who do you live with?
8618,gv1,1341,"The diary of a 14-year-old Jewish girl unveiled Monday by Israel's Holocaust museum more than 60 years after the teenager wrote it.That is both a daily account of the horrors of the Holocaust in Poland, and a scrapbook detailing the life of a typical teenager in extraordinary circumstances. It includes innocent adolescent banter, concerns and first loves. After she dead, Her friend has kept the diary. After being a period of 60 years, Sapinska who is her friend agree to hand it over last year.
",Male,Korean,"Write one paragraph.  Begin with the main idea of the article and include the most important details.  Use your own words to write most of your summary.  If you do quote from the article, be sure to use quotation marks."
18210,fc5,2590,"1. Sustain
ANON_URLPAGE U.S. military reported that a Marine was killed in combat Friday and a second died of wounds sustained Thursday in a restive province west of Baghdad that contains the city of Fallujah, the target of several U.S. airstrikes over the past week.
Definition: to suffer damage, an injury, or loss of money

2. Sustainability
ANON_URLPAGE central theme of Montgomery County Planning Board's 2007 growth policy recommendations to the County Council is that development should be managed in ways that contribute to the sustainability of our facilities, communities and resources, not merely to assure provision of adequate facilities for each increment of growth.
Definition: the property of being sustainable
",,,"integrate:  verb
To combine 2 or more things in order to make an effective system"
39761,db4,5288,Driving car by women is type of conflict that the media are concentrating on in my country.,,,What is a political ISSUE or some type of CONFLICT that the media are FOCUSING on in your country?
